episode,timestep,reward,steps
1051,21317,0.85,16
1052,21325,0.93,8
1053,21333,0.93,8
1054,21341,0.93,8
1055,21361,0.81,20
1056,21369,0.93,8
1057,21397,0.73,28
1058,21405,0.93,8
1059,21415,0.91,10
1060,21429,0.87,14
1061,21437,0.93,8
1062,21445,0.93,8
1063,21453,0.93,8
1064,21463,0.91,10
1065,21471,0.93,8
1066,21479,0.93,8
1067,21487,0.93,8
1068,21495,0.93,8
1069,21503,0.93,8
1070,21513,0.91,10
1071,21521,0.93,8
1072,21529,0.93,8
1073,21534,-1.04,5
1074,21549,0.86,15
1075,21557,0.93,8
1076,21566,0.92,9
1077,21581,0.86,15
1078,21589,0.93,8
1079,21597,0.93,8
1080,21605,0.93,8
1081,21613,0.93,8
1082,21621,0.93,8
1083,21631,0.91,10
1084,21639,0.93,8
1085,21664,0.76,25
1086,21672,0.93,8
1087,21680,0.93,8
1088,21688,0.93,8
1089,21696,0.93,8
1090,21704,0.93,8
1091,21722,-1.17,18
1092,21730,0.93,8
1093,21738,0.93,8
1094,21746,0.93,8
1095,21754,0.93,8
1096,21762,0.93,8
1097,21770,0.93,8
1098,21782,0.89,12
1099,21799,-1.16,17
1100,21804,-1.04,5
1101,21813,0.92,9
1102,21821,0.93,8
1103,21829,0.93,8
1104,21837,0.93,8
1105,21849,0.89,12
1106,21857,0.93,8
1107,21865,0.93,8
1108,21873,0.93,8
1109,21893,0.81,20
1110,21901,0.93,8
1111,21909,0.93,8
1112,21917,0.93,8
1113,21925,0.93,8
1114,21935,0.91,10
1115,21943,0.93,8
1116,21951,0.93,8
1117,21959,0.93,8
1118,21967,0.93,8
1119,21975,0.93,8
1120,21983,0.93,8
1121,21991,0.93,8
1122,21999,0.93,8
1123,22007,0.93,8
1124,22016,0.92,9
1125,22024,0.93,8
1126,22033,0.92,9
1127,22042,0.92,9
1128,22050,0.93,8
1129,22058,0.93,8
1130,22070,0.89,12
1131,22078,0.93,8
1132,22109,0.7,31
1133,22117,0.93,8
1134,22125,0.93,8
1135,22133,0.93,8
1136,22141,0.93,8
1137,22149,0.93,8
1138,22157,0.93,8
1139,22174,0.84,17
1140,22182,0.93,8
1141,22190,0.93,8
1142,22199,0.92,9
1143,22207,0.93,8
1144,22215,0.93,8
1145,22223,0.93,8
1146,22233,0.91,10
1147,22241,0.93,8
1148,22249,0.93,8
1149,22257,0.93,8
1150,22265,0.93,8
1151,22276,0.9,11
1152,22284,0.93,8
1153,22294,0.91,10
1154,22302,0.93,8
1155,22310,0.93,8
1156,22318,0.93,8
1157,22326,0.93,8
1158,22334,0.93,8
1159,22342,0.93,8
1160,22350,0.93,8
1161,22358,0.93,8
1162,22366,0.93,8
1163,22376,0.91,10
1164,22384,0.93,8
1165,22394,0.91,10
1166,22402,0.93,8
1167,22410,0.93,8
1168,22418,0.93,8
1169,22426,0.93,8
1170,22434,0.93,8
1171,22444,0.91,10
1172,22452,0.93,8
1173,22460,0.93,8
1174,22468,0.93,8
1175,22478,0.91,10
1176,22486,0.93,8
1177,22496,0.91,10
1178,22504,0.93,8
1179,22517,0.88,13
1180,22525,0.93,8
1181,22533,0.93,8
1182,22542,0.92,9
1183,22556,0.87,14
1184,22583,0.74,27
1185,22597,0.87,14
1186,22605,0.93,8
1187,22613,0.93,8
1188,22621,0.93,8
1189,22629,0.93,8
1190,22637,0.93,8
1191,22647,0.91,10
1192,22655,0.93,8
1193,22663,0.93,8
1194,22680,0.84,17
1195,22694,-1.13,14
1196,22702,0.93,8
1197,22710,0.93,8
1198,22718,0.93,8
1199,22728,0.91,10
1200,22736,0.93,8
1201,22746,0.91,10
1202,22754,0.93,8
1203,22762,0.93,8
